quantity,value
n,340.0
mean,0.1560110644257703
standard_deviation,0.10962778524151298
maximum,0.825
exact_zeros,0.0
lag1_correlation,0.20418125910518353
first_second_half_mean_difference,0.0019044817927170998
beta1_hat,7.37978666786276
gamma_hat,6.225213750617243
rmin_hat,1.1545729172455168
lr_gamma_zero,5.708740052867483
boundary_mixture_p,0.008440325398823589
stationary_wall_density,0.017518682104834104
stationary_mean,0.15816652780827195
stationary_sd,0.1571103225080957
pit_lag1,-0.017222333381139633
pit_mean,0.5837397973218711
pit_variance,0.013339848894224165
pit_cdf_distance,0.46850444090621995
