scenario,n,wall,reps,q_face_rate,gamma_face_rate,any_face_rate,beta1_coverage,beta1_coverage_mcse,gamma_coverage,gamma_coverage_mcse,interior_reps,beta1_coverage_interior,gamma_coverage_interior
baseline,300,estimated,160,0.0625,0.0,0.0625,0.95625,0.01617017654124406,0.98125,0.010723349960483443,150,0.96,0.9866666666666667
baseline,300,known,160,0.06875,0.0,0.06875,0.9625,0.01501951855087239,0.98125,0.010723349960483443,149,0.9731543624161074,0.9798657718120806
baseline,1000,estimated,160,0.025,0.0,0.025,0.9625,0.01501951855087239,0.95,0.017230060940112785,156,0.9615384615384616,0.9743589743589743
baseline,1000,known,160,0.025,0.0,0.025,0.95625,0.01617017654124406,0.94375,0.01821502427599261,156,0.9551282051282052,0.967948717948718
baseline,3000,estimated,160,0.0,0.0,0.0,0.9375,0.019136638615493577,0.94375,0.01821502427599261,160,0.9375,0.94375
baseline,3000,known,160,0.0,0.0,0.0,0.9375,0.019136638615493577,0.95,0.017230060940112785,160,0.9375,0.95
low_persistence,300,estimated,160,0.00625,0.2625,0.26875,0.975,0.012342761036332193,0.98125,0.010723349960483443,117,0.9829059829059829,0.9829059829059829
low_persistence,300,known,160,0.00625,0.2625,0.26875,0.98125,0.010723349960483443,0.98125,0.010723349960483443,117,0.9829059829059829,0.9829059829059829
low_persistence,1000,estimated,160,0.0,0.0875,0.0875,0.95,0.017230060940112785,0.9875,0.008783418326596982,146,0.9657534246575342,0.9863013698630136
low_persistence,1000,known,160,0.0,0.0875,0.0875,0.95,0.017230060940112785,0.9875,0.008783418326596982,146,0.9657534246575342,0.9863013698630136
low_persistence,3000,estimated,160,0.0,0.00625,0.00625,0.975,0.012342761036332193,0.95625,0.01617017654124406,159,0.9811320754716981,0.9622641509433962
low_persistence,3000,known,160,0.0,0.00625,0.00625,0.975,0.012342761036332193,0.9625,0.01501951855087239,159,0.9811320754716981,0.9685534591194969
near_active,300,estimated,160,0.4375,0.0,0.4375,0.95,0.017230060940112785,0.9875,0.008783418326596982,90,0.9444444444444444,0.9777777777777777
near_active,300,known,160,0.43125,0.0,0.43125,0.95625,0.01617017654124406,0.98125,0.010723349960483443,91,0.945054945054945,0.967032967032967
near_active,1000,estimated,160,0.41875,0.0,0.41875,0.95625,0.01617017654124406,0.96875,0.013755325673171101,93,0.9354838709677419,0.946236559139785
near_active,1000,known,160,0.4,0.0,0.4,0.95625,0.01617017654124406,0.9625,0.01501951855087239,96,0.9375,0.9375
near_active,3000,estimated,160,0.26875,0.0,0.26875,0.95625,0.01617017654124406,0.96875,0.013755325673171101,117,0.9572649572649573,0.9572649572649573
near_active,3000,known,160,0.26875,0.0,0.26875,0.95625,0.01617017654124406,0.96875,0.013755325673171101,117,0.9572649572649573,0.9572649572649573
