scenario,n,wall,reps,success_rate,beta1_bias,beta1_rmse,beta1_coverage,gamma_bias,gamma_rmse,gamma_coverage,median_grad_norm
baseline,300,estimated,160,1.0,-0.028686451503198172,0.39322903418626615,0.95625,-0.018169838888766564,1.066257871364835,0.98125,5.3741510377447505e-08
baseline,300,known,160,1.0,-0.007437500525279634,0.3853319749116781,0.9625,-0.10598115621131529,1.034934129406004,0.98125,3.068364073932628e-08
baseline,1000,estimated,160,1.0,-0.020695973415593455,0.2318610924703404,0.9625,-0.033972178024538766,0.6211138148554289,0.95,9.840971348928917e-08
baseline,1000,known,160,1.0,-0.01350571250658052,0.2289432662856097,0.95625,-0.06298506815483704,0.6217768228158468,0.94375,7.156786785422753e-08
baseline,3000,estimated,160,1.0,0.0017638969736776867,0.1350448465743717,0.9375,0.011005886001221016,0.38439396970366885,0.94375,1.538114179257795e-07
baseline,3000,known,160,1.0,0.004258805677411798,0.1349685298754142,0.9375,5.172061391289506e-05,0.38367724888938004,0.95,1.5038821477020292e-07
low_persistence,300,estimated,160,1.0,0.03257406693667109,0.35934979160406827,0.975,0.0680895592813538,0.727648523363303,0.98125,8.412886787212415e-08
low_persistence,300,known,160,1.0,0.05816286892140045,0.3590420818358124,0.98125,0.059210987000610685,0.719373094189619,0.98125,6.261075813362993e-08
low_persistence,1000,estimated,160,1.0,-0.030220740411071624,0.19920876253748046,0.95,-0.06327657138688644,0.4397381252601183,0.9875,1.1011037148733749e-07
low_persistence,1000,known,160,1.0,-0.021355195135410166,0.19841429626809384,0.95,-0.06603370822513119,0.4380588031296975,0.9875,1.0721551868542178e-07
low_persistence,3000,estimated,160,1.0,0.006981738149740048,0.11743893521565457,0.975,0.015184111226448532,0.2607408713958081,0.95625,3.7277392883616756e-07
low_persistence,3000,known,160,1.0,0.00978100537269417,0.11791757379802903,0.975,0.014238028983298474,0.2602689192514025,0.9625,4.007465981281655e-07
near_active,300,estimated,160,1.0,-0.09169942602676609,0.37546709463242905,0.95,-0.2504282361886294,0.7109109392237567,0.9875,2.1265597549557924e-07
near_active,300,known,160,1.0,-0.07236446104553815,0.3692059364978911,0.95625,-0.3024131774028029,0.7230523203564664,0.98125,2.1320024090609735e-07
near_active,1000,estimated,160,1.0,-0.02781228460487703,0.20922371389653102,0.95625,-0.0969740041279303,0.408346750450431,0.96875,9.897372144074268e-07
near_active,1000,known,160,1.0,-0.02222299896627942,0.2075200241049084,0.95625,-0.11354157219258869,0.41341677043955977,0.9625,6.141045375476282e-07
near_active,3000,estimated,160,1.0,-0.012277818646654216,0.11750624312715434,0.95625,-0.02996262497228087,0.2383049978215525,0.96875,1.0123223739277876e-06
near_active,3000,known,160,1.0,-0.010541138412331005,0.11738542478545662,0.95625,-0.036030336974069335,0.23929083532210857,0.96875,1.2557140622870833e-06
