rep,n,sqrt_n_delta_beta1,sqrt_n_delta_gamma,loose_grad,tight_grad,loose_success,tight_success
0,1000,-1.8873091982357426e-07,2.5769085124669654e-07,3.3858833470290506e-07,3.2383260517576673e-09,True,True
1,1000,4.983360490448318e-05,7.212634645492475e-05,4.052451116232092e-05,6.147931970179599e-07,True,True
2,1000,3.4368942203484332e-06,-1.7829754134089585e-05,1.3301203142912499e-05,8.780314042500237e-07,True,True
3,1000,3.8235453436029025e-06,4.723043740799801e-06,3.4112879518932715e-06,7.195359197353923e-08,True,True
4,1000,1.9572926920916274e-06,2.620855201889868e-06,1.7411970458791615e-06,8.732076617334883e-09,True,True
5,1000,5.839954067545115e-06,6.596112689533651e-06,5.255863923636639e-06,1.4816620774737999e-07,True,True
6,1000,-1.0825871829431277e-06,7.850366203662994e-06,4.463479890581823e-06,5.2000087347181534e-08,True,True
7,1000,-2.436269129929294e-06,-1.5413909277863733e-05,2.370128396655957e-06,1.576107315770514e-07,True,True
8,1000,1.3329690125549347e-06,-1.0032268146260292e-06,2.592339693130441e-06,1.4580722007551117e-07,True,True
9,1000,2.553611239476181e-06,-1.0467848547839601e-06,3.81923662318151e-06,1.8068324991737938e-07,True,True
10,1000,2.898923000804853e-06,-1.2320764118780442e-05,7.435362645580312e-06,9.96957741250526e-07,True,True
11,1000,8.256108256286212e-06,-1.703419526775995e-05,1.669829904549225e-05,1.672456788615051e-07,True,True
12,1000,1.208451939038322e-06,-1.953968410270237e-08,1.7764553934540572e-06,2.6450369272623675e-07,True,True
13,1000,-5.188258862994023e-07,-1.2211387992070418e-07,1.2563384146346834e-06,5.834139873428512e-07,True,True
14,1000,1.3783976725322585e-05,-3.3962289328312696e-05,2.8925867786355752e-05,1.3695713230177375e-08,True,True
15,1000,1.0588340914214508e-06,-1.0164489224220343e-07,1.7032231500735406e-06,1.5374389381995258e-07,True,True
16,1000,-1.8650580131852552e-06,5.194324206981004e-06,5.3182632715476075e-06,1.7427882741849707e-08,True,True
17,1000,2.4380594218789256e-05,3.238150729277824e-05,2.1096696181555075e-05,2.817298104806909e-07,True,True
18,1000,8.759714918236012e-05,0.00018435194925014208,5.092781384319345e-05,1.2495871049011953e-07,True,True
19,1000,-1.8138072032509855e-06,-1.2208172770779896e-06,1.9975900091839804e-06,2.016216038569496e-08,True,True
20,1000,-5.809740143667889e-07,2.5585212945586582e-08,8.708205143648229e-07,4.68709107082077e-08,True,True
21,1000,2.268573242442692e-06,2.603538310716125e-06,2.0566527569876314e-06,9.473026807427232e-09,True,True
22,1000,-1.7704105209992702e-07,1.0224042930614454e-06,6.350984493863621e-07,2.4314371849243344e-08,True,True
23,1000,3.367158964888111e-05,0.0001457143057981,1.1903643365229755e-05,4.347458393283432e-09,True,True
24,1000,4.107079131058447e-06,4.3541176501314636e-06,3.4884809063662203e-06,4.3024338669539475e-07,True,True
25,1000,4.095866624339855e-06,4.457379505879288e-06,3.824569981381032e-06,1.2689721717862312e-08,True,True
26,1000,8.952071672389259e-06,4.884952030548121e-05,5.905340124234826e-06,1.2063713943964647e-07,True,True
27,1000,3.189781594602562e-05,7.824554234409674e-05,1.548393835687134e-05,1.9870389511567055e-07,True,True
28,1000,-3.1114854301264583e-06,-1.3714977528737951e-05,8.873218968474816e-07,5.545837122866715e-08,True,True
29,1000,-9.396964012053946e-07,1.8629101273991816e-06,2.2430337818235557e-06,2.3570198859346192e-07,True,True
30,1000,-1.5098481169286234e-06,1.3544603352788176e-05,7.226603101928575e-06,1.3811607080249644e-07,True,True
31,1000,-2.017041516566589e-05,-0.00010030265566849816,1.2507799316496815e-05,7.930054157778699e-07,True,True
32,1000,-3.647213423690292e-06,1.430192543690153e-06,4.193442201927411e-06,1.7070066111735116e-06,True,True
33,1000,5.825872257744659e-05,0.00014100571914992045,2.9516200143830444e-05,6.616618399846175e-07,True,True
34,1000,-9.95137747585091e-06,-3.964951773036789e-06,1.2265580770609574e-05,3.652889155603134e-07,True,True
35,1000,6.184812369622986e-06,7.1988220772977236e-06,5.728066149179867e-06,1.2299908824786598e-07,True,True
36,1000,4.4691030776042345e-06,2.349663336619089e-05,3.3745134579987734e-06,6.121400103042665e-08,True,True
37,1000,-4.987892788275576e-07,-1.2928041508143817e-06,2.195104832675716e-07,2.760310546488472e-10,True,True
38,1000,4.778039318058325e-08,1.5419749113995363e-08,5.3592483784115075e-08,1.2115123571021513e-08,True,True
39,1000,-1.4184072487041631e-05,-7.703491881412475e-05,1.05500164276906e-05,4.687828865090893e-07,True,True
40,1000,9.434385957908838e-06,8.417401478906173e-06,9.594721602557144e-06,2.518995545486291e-07,True,True
41,1000,-8.382614848912799e-07,-1.8502527161015962e-06,6.425444906294432e-07,2.032664061163229e-07,True,True
42,1000,2.9851065363434584e-05,0.0001368268601719536,1.012842795766744e-05,5.784227949645787e-07,True,True
43,1000,-1.3709657801519692e-06,-3.5357200818353763e-07,1.8573295959001257e-06,1.5787769980235566e-08,True,True
44,1000,6.66287688953219e-07,5.205637601010149e-06,9.946006338523716e-07,5.5499755902133074e-09,True,True
45,1000,2.0027190377275288e-05,4.6015462368461734e-05,9.912470541726911e-06,7.212178756432763e-07,True,True
46,1000,0.0,0.0,4.834378848350696e-07,4.834378848350696e-07,True,True
47,1000,-1.53566229800703e-05,-7.393575730824638e-05,8.547543009496117e-06,6.127841148950708e-07,True,True
48,1000,6.4951334232304214e-06,4.11598224943841e-05,7.749794146638678e-06,9.818386134560499e-08,True,True
49,1000,3.952680511290745e-06,4.599457094325696e-06,3.4780944813128656e-06,3.4896674206323336e-08,True,True
